Variable 1,Variable 2,Correlation Coefficient,P-Value,Significance
P-E-Liveliness,INT-passenger,-0.19091606961300187,0.010688627879195448,*
AVG-P-Extraversion,BEH-passenger-usage,-0.16681866681433677,0.026042532879868244,*
P-HH-Modesty,P-HH-Greed avoidance,0.3168006582360916,1.6446277203448673e-05,***
P-HH-Modesty,P-HH-Fairness,0.23715501428236757,0.0014358450975032184,**
P-HH-Modesty,AVG-P-Honesty-Humility,0.6051795461616393,3.6458962905358187e-19,***
P-HH-Greed avoidance,AVG-P-Honesty-Humility,0.609345721607663,1.7887715292728108e-19,***
P-HH-Fairness,P-HH-Sincerity,0.27248596589987883,0.0002335263330073416,***
P-HH-Fairness,AVG-P-Honesty-Humility,0.6598321154511799,1.2902735633795445e-23,***
P-HH-Sincerity,AVG-P-Honesty-Humility,0.5938224258500199,2.4113298407191452e-18,***
P-HH-Sincerity,BEH-passenger-usage,0.1736782499294597,0.020423233268185213,*
ATT-Favourable,ATT-Smart,0.47904318980986627,1.3403466542118647e-11,***
ATT-Favourable,AVG-ATT,0.8409945155725851,7.97359725569888e-49,***
ATT-Favourable,BEH-take_part,0.16237769280821174,0.030348018541408884,*
ATT-Favourable,BEH-passenger-usage,0.194940762714708,0.009118584069871405,**
ATT-Favourable,INT-passenger,0.3434551821690645,2.685026894898078e-06,***
ATT-Favourable,INT-driver,0.2525111128812077,0.0006727294880985314,***
ATT-Smart,AVG-ATT,0.877796116268125,3.7930858761679104e-58,***
ATT-Smart,BEH-take_part,0.1917418663465936,0.010348315942012982,*
ATT-Smart,BEH-passenger-usage,0.17508521126395776,0.019410263556778624,*
ATT-Smart,INT-passenger,0.23727006439993475,0.0014279613875843255,**
ATT-Smart,INT-driver,0.2802135851154975,0.00015164722610955264,***
AVG-ATT,BEH-take_part,0.20679769308902657,0.005612688592569889,**
AVG-ATT,BEH-passenger-usage,0.2143015881443384,0.004073096026914155,**
AVG-ATT,INT-passenger,0.3336787509717997,5.323893168427649e-06,***
AVG-ATT,INT-driver,0.3105171861816105,2.4606319693283356e-05,***
BEH-take_part,BEH-passenger-usage,0.5349608341728239,1.4454317019010674e-14,***
BEH-take_part,BEH-driver-usage,0.2997101790558933,4.8179144919472866e-05,***
BEH-take_part,INT-passenger,0.2512639046122352,0.000716721787371629,***
BEH-take_part,INT-driver,0.19872724389839083,0.007831499404638027,**
BEH-passenger-usage,BEH-driver-usage,0.5284370812178716,3.4257978533840295e-14,***
BEH-passenger-usage,INT-passenger,0.38690433173471195,9.5638966222842e-08,***
BEH-driver-usage,INT-driver,0.1867006436809326,0.012584043037102262,*
INT-passenger,INT-driver,0.4888528155955269,4.4150595829498274e-12,***
